stage,group,date,time,venue,team1,team1_score,team2,team2_score,team1_pso_score,team2_pso_score
Group Stage,A,2024-06-14,21:00,Munich,GERMANY,0,SCOTLAND,0,,
Group Stage,A,2024-06-15,15:00,Cologne,HUNGARY,2,SWITZERLAND,0,,
Group Stage,B,2024-06-15,18:00,Berlin,SPAIN,3,CROATIA,2,,
Group Stage,B,2024-06-15,21:00,Dortmund,ITALY,2,ALBANIA,0,,
Group Stage,D,2024-06-16,15:00,Hamburg,POLAND,1,NETHERLANDS,3,,
Group Stage,C,2024-06-16,18:00,Stuttgart,SLOVENIA,1,DENMARK,1,,
Group Stage,C,2024-06-16,21:00,Gelsenkirchen,SERBIA,0,ENGLAND,2,,
Group Stage,E,2024-06-17,15:00,Munich,ROMANIA,1,UKRAINE,2,,
Group Stage,E,2024-06-17,18:00,Frankfurt,BELGIUM,0,SLOVAKIA,0,,
Group Stage,D,2024-06-17,21:00,Düsseldorf,AUSTRIA,0,FRANCE,0,,
Group Stage,F,2024-06-18,18:00,Dortmund,TURKEY,2,GEORGIA,1,,
Group Stage,F,2024-06-18,21:00,Leipzig,PORTUGAL,0,CZECHIA,0,,
Group Stage,B,2024-06-19,15:00,Hamburg,CROATIA,0,ALBANIA,1,,
Group Stage,A,2024-06-19,18:00,Stuttgart,GERMANY,1,HUNGARY,0,,
Group Stage,A,2024-06-19,21:00,Cologne,SCOTLAND,0,SWITZERLAND,0,,
Group Stage,C,2024-06-20,15:00,Munich,SLOVENIA,0,SERBIA,2,,
Group Stage,C,2024-06-20,18:00,Frankfurt,DENMARK,2,ENGLAND,0,,
Group Stage,B,2024-06-20,21:00,Gelsenkirchen,SPAIN,0,ITALY,0,,
Group Stage,E,2024-06-21,15:00,Düsseldorf,SLOVAKIA,1,UKRAINE,1,,
Group Stage,D,2024-06-21,18:00,Berlin,POLAND,0,AUSTRIA,0,,
Group Stage,D,2024-06-21,21:00,Leipzig,NETHERLANDS,0,FRANCE,0,,
Group Stage,F,2024-06-22,15:00,Hamburg,GEORGIA,1,CZECHIA,2,,
Group Stage,F,2024-06-22,18:00,Dortmund,TURKEY,0,PORTUGAL,1,,
Group Stage,E,2024-06-22,21:00,Cologne,BELGIUM,3,ROMANIA,0,,
Group Stage,A,2024-06-23,21:00,Frankfurt,SWITZERLAND,0,GERMANY,1,,
Group Stage,A,2024-06-23,21:00,Stuttgart,SCOTLAND,0,HUNGARY,1,,
Group Stage,B,2024-06-24,21:00,Leipzig,CROATIA,1,ITALY,0,,
Group Stage,B,2024-06-24,21:00,Düsseldorf,ALBANIA,1,SPAIN,2,,
Group Stage,D,2024-06-25,18:00,Berlin,NETHERLANDS,0,AUSTRIA,1,,
Group Stage,D,2024-06-25,18:00,Dortmund,FRANCE,0,POLAND,2,,
Group Stage,C,2024-06-25,21:00,Cologne,ENGLAND,1,SLOVENIA,1,,
Group Stage,C,2024-06-25,21:00,Munich,DENMARK,0,SERBIA,2,,
Group Stage,E,2024-06-26,18:00,Frankfurt,SLOVAKIA,3,ROMANIA,0,,
Group Stage,E,2024-06-26,18:00,Stuttgart,UKRAINE,0,BELGIUM,0,,
Group Stage,F,2024-06-26,21:00,Hamburg,CZECHIA,1,TURKEY,1,,
Group Stage,F,2024-06-26,21:00,Gelsenkirchen,GEORGIA,0,PORTUGAL,0,,
