stage,group,date,time,venue,team1,team1_score,team2,team2_score,team1_pso_score,team2_pso_score
Group Stage,A,2024-06-14,21:00,Munich,GERMANY,1,SCOTLAND,0,,
Group Stage,A,2024-06-15,15:00,Cologne,HUNGARY,1,SWITZERLAND,1,,
Group Stage,B,2024-06-15,18:00,Berlin,SPAIN,1,CROATIA,0,,
Group Stage,B,2024-06-15,21:00,Dortmund,ITALY,0,ALBANIA,3,,
Group Stage,D,2024-06-16,15:00,Hamburg,POLAND,0,NETHERLANDS,0,,
Group Stage,C,2024-06-16,18:00,Stuttgart,SLOVENIA,0,DENMARK,2,,
Group Stage,C,2024-06-16,21:00,Gelsenkirchen,SERBIA,0,ENGLAND,1,,
Group Stage,E,2024-06-17,15:00,Munich,ROMANIA,1,UKRAINE,0,,
Group Stage,E,2024-06-17,18:00,Frankfurt,BELGIUM,1,SLOVAKIA,1,,
Group Stage,D,2024-06-17,21:00,Düsseldorf,AUSTRIA,0,FRANCE,3,,
Group Stage,F,2024-06-18,18:00,Dortmund,TURKEY,0,GEORGIA,0,,
Group Stage,F,2024-06-18,21:00,Leipzig,PORTUGAL,1,CZECHIA,1,,
Group Stage,B,2024-06-19,15:00,Hamburg,CROATIA,0,ALBANIA,0,,
Group Stage,A,2024-06-19,18:00,Stuttgart,GERMANY,0,HUNGARY,0,,
Group Stage,A,2024-06-19,21:00,Cologne,SCOTLAND,0,SWITZERLAND,0,,
Group Stage,C,2024-06-20,15:00,Munich,SLOVENIA,0,SERBIA,1,,
Group Stage,C,2024-06-20,18:00,Frankfurt,DENMARK,1,ENGLAND,0,,
Group Stage,B,2024-06-20,21:00,Gelsenkirchen,SPAIN,0,ITALY,0,,
Group Stage,E,2024-06-21,15:00,Düsseldorf,SLOVAKIA,0,UKRAINE,0,,
Group Stage,D,2024-06-21,18:00,Berlin,POLAND,0,AUSTRIA,2,,
Group Stage,D,2024-06-21,21:00,Leipzig,NETHERLANDS,2,FRANCE,0,,
Group Stage,F,2024-06-22,15:00,Hamburg,GEORGIA,1,CZECHIA,0,,
Group Stage,F,2024-06-22,18:00,Dortmund,TURKEY,0,PORTUGAL,2,,
Group Stage,E,2024-06-22,21:00,Cologne,BELGIUM,0,ROMANIA,0,,
Group Stage,A,2024-06-23,21:00,Frankfurt,SWITZERLAND,0,GERMANY,1,,
Group Stage,A,2024-06-23,21:00,Stuttgart,SCOTLAND,1,HUNGARY,0,,
Group Stage,B,2024-06-24,21:00,Leipzig,CROATIA,1,ITALY,0,,
Group Stage,B,2024-06-24,21:00,Düsseldorf,ALBANIA,0,SPAIN,0,,
Group Stage,D,2024-06-25,18:00,Berlin,NETHERLANDS,2,AUSTRIA,1,,
Group Stage,D,2024-06-25,18:00,Dortmund,FRANCE,0,POLAND,1,,
Group Stage,C,2024-06-25,21:00,Cologne,ENGLAND,1,SLOVENIA,0,,
Group Stage,C,2024-06-25,21:00,Munich,DENMARK,0,SERBIA,1,,
Group Stage,E,2024-06-26,18:00,Frankfurt,SLOVAKIA,0,ROMANIA,2,,
Group Stage,E,2024-06-26,18:00,Stuttgart,UKRAINE,0,BELGIUM,0,,
Group Stage,F,2024-06-26,21:00,Hamburg,CZECHIA,0,TURKEY,0,,
Group Stage,F,2024-06-26,21:00,Gelsenkirchen,GEORGIA,0,PORTUGAL,0,,
